1727644736.613875 server started (428626): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1727644736.614553 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1727644736.614557 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1727644736.614560 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1727644736.614564 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1727644736.614568 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1727644736.614571 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1727644736.614573 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1727644736.614576 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1727644736.614578 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1727644736.614581 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1727644736.614584 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1727644736.614586 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1727644736.614588 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1727644736.614590 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1727644736.614592 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1727644736.614595 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1727644736.614597 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1727644736.614599 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1727644736.614601 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1727644736.614604 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1727644736.614606 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1727644736.614608 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1727644736.614610 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1727644736.614613 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1727644736.614615 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1727644736.614617 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1727644736.614621 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1727644736.614623 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1727644736.614625 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1727644736.614628 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1727644736.614640 yylex_token: bind
1727644736.614643 yylex_token: -N
1727644736.614646 yylex_token: Send the prefix key
